Group,เลข Package,Intania First Date 2026,,Vishnu 24th,,,,,
,,ห้องบ้าน First Date,หอประชุมวัน First Date,ห้องบ้าน Vishnu,พิธีเปิด Vishnu,Day 3 Vishnu,พิธีปิด Vishnu,สถานที่กินข้าว Vishnu,status
,1,ตึก 100,100A,ตึก 3 204,Hall of Intania,ตึก 4 201,ตึก 4 201,,
,2,ตึก 100,100A,ตึก 3 205,Hall of Intania,ตึก 4 201,ตึก 4 201,,
,3,ตึก 100,100A,ตึก 3 206,Hall of Intania,ตึก 4 201,ตึก 4 201,,
,4,ตึก 100,100B,ตึก 3 304,Hall of Intania,ตึก 100 201A,Hall of Intania,,
,5,ตึก 100,100B,ตึก 3 306,Hall of Intania,ตึก 100 201A,Hall of Intania,,
,6,ตึก 100,100B,ตึก 3 319,Hall of Intania,ตึก 100 201A,Hall of Intania,,
,7,ตึก 100,ตึก 4 201,ตึก 3 320,Hall of Intania,ตึก 100 201B,Hall of Intania,,
,8,ตึก 100,ตึก 4 201,ตึก 3 322,Hall of Intania,ตึก 100 201B,Hall of Intania,,
,9,,ตึก 4 201,ตึก 3 419,ตึก 4 201,Hall of Intania,Hall of Intania,,
,10,,ตึก 4 201,ตึก 3 420,ตึก 4 201,Hall of Intania,Hall of Intania,,
,11,,Hall of Intania,โถงตึก 4 ชั้น 2,ตึก 4 201,ตึก 4 201,ตึก 4 201,,
,12,,Hall of Intania,ตึก 3 404,ตึก 4 201,Hall of Intania,Hall of Intania,,
,13,,Hall of Intania,ตึก 3 401,ตึก 100 201A,Hall of Intania,ตึก 100 201A,,
,14,,Hall of Intania,ตึก 3 309,ตึก 100 201A,Hall of Intania,ตึก 100 201A,,
,15,,Hall of Intania,ตึก 3 317,ตึก 100 201A,Hall of Intania,ตึก 100 201A,,
,16,,Hall of Intania,ตึก 3 417,ตึก 100 201B,Hall of Intania,ตึก 100 201B,,
,17,,Hall of Intania,ตึก 3 318,ตึก 100 201B,Hall of Intania,ตึก 100 201B,,
,18,,Hall of Intania,ตึก 3 418,ตึก 100 201B,ตึก 100 201B,ตึก 100 201B,,