Group,เลข Package,ห้องบ้าน First Date,หอประชุมวัน First Date,ห้องบ้าน Vishnu,พิธีเปิด Vishnu,Day 3 Vishnu,พิธีปิด Vishnu,สถานที่กินข้าว Vishnu,สถานะ
-,1,ตึก 3 317,Hall of Intania | zone B,ตึก 4 ชั้น 10,ตึก 4 201 | zone C,ตึก 4 201 | zone C,ตึก 4 201 | zone C,ใต้ตึก 4,
-,2,ตึก 3 318,Hall of Intania | zone E,ตึก 4 ชั้ั้น 18,ตึก 4 201 | zone A,ตึก 4 201 | zone A,ตึก 4 201 | zone A,ใต้ตึก 4,
-,3,ตึก 3 309,Hall of Intania | zone A,ตึก 4 ชั้น 19,ตึก 4 201 | zone D,ตึก 4 201 | zone D,ตึก 4 201 | zone D,ใต้ตึก 4,
-,4,ตึก 3 304,ตึก 100 201B | zone A,โถงตึก 4 ชั้น 2,Hall of Intania | zone F,ตึก 4 201 | zone B,ตึก 4 201 | zone B,โถงตึก 4 ชั้น 2 ,
-,5,ตึก 100 501,ตึก 100 201A | zone C,ตึก 3 304,ตึก 100 201A | zone B,Hall of Intania | zone F,Hall of Intania | zone F,ใต้ตึก 100,
-,6,ตึก 100 502,ตึก 100 201B | zone B,ตึก 3 306,ตึก 4 201 | zone B,Hall of Intania | zone B,Hall of Intania | zone B,ใต้ตึก 100,
-,7,ตึก 100 504,ตึก 100 201B | zone C,ตึก 3 319,Hall of Intania | zone G,Hall of Intania | zone G,Hall of Intania | zone G,หน้าห้องสมุด,
-,8,ตึก 100 401,ตึก 4 201 | zone C,ตึก 3 320,Hall of Intania | zone E,Hall of Intania | zone E,Hall of Intania | zone E,outdoor สวนรวมใจ,
-,9,ตึก 100 402,ตึก 4 201 | zone A,ตึก 3 322,Hall of Intania | zone D,Hall of Intania | zone D,Hall of Intania | zone D,ลานส้มติดกำแพง,
-,10,ตึก 3 401,ตึก 100 201A | zone B,ตึก 3 404,Hall of Intania | zone H,Hall of Intania | zone H,Hall of Intania | zone H,i-Canteen ชั้น 2,
-,11,ตึก 100 505,ตึก 100 201A | zone A,ตึก 3 401,Hall of Intania | zone B,ตึก 100 201A | zone C,ตึก 100 201A | zone C,i-Canteen ชั้น 2,
-,12,ตึก 100 404,ตึก 4 201 | zone D,ตึก 3 419,Hall of Intania | zone A,Hall of Intania | zone A,Hall of Intania | zone A,ลานส้มติดตู้กดน้ำ,
-,13,ตึก 100 405,ตึก 4 201 | zone B,ตึก 3 420,Hall of Intania | zone C,Hall of Intania | zone C,Hall of Intania | zone C,ตึก 3 ชั้น 2,
-,14,ตึก 3 320,Hall of Intania | zone F,ตึก 3 309,ตึก 100 201A | zone A,ตึก 100 201A | zone A,ตึก 100 201A | zone C,i-Canteen ชั้น 1,
-,15,ตึก 3 404,Hall of Intania | zone C,ตึก 3 317,ตึก 100 201A | zone C,ตึก 100 201A | zone B,ตึก 100 201A | zone B,i-Canteen ชั้น 1,
-,16,ตึก 3 417,Hall of Intania | zone H,ตึก 3 417,ตึก 100 201B | zone B,ตึก 100 201B | zone C,ตึก 100 201B | zone A,ที่ราบสูง,
-,17,ตึก 3 420,Hall of Intania | zone D,ตึก 3 318,ตึก 100 201B | zone C,ตึก 100 201B | zone B,ตึก 100 201B | zone B,i-Canteen ชั้น 1,
-,18,ตึก 3 418,Hall of Intania | zone G,ตึก 3 418,ตึก 100 201B | zone A,ตึก 100 201B | zone A,ตึก 100 201B | zone C,ที่ราบสูง,